Scale,Abbr,MIDUS1,MIDUS2,Milwaukee
Extraversion,Ext,A1SF4W,B1SE6W,BASC6W
Extraversion,Ext,A1SF4AA,B1SE6AA,BASC6AA
Neuroticism,Neu,A1SF4C,B1SE6C,BASC6C
Neuroticism,Neu,A1SF4H,B1SE6H,BASC6H
Neuroticism,Neu,A1SF4M,B1SE6M,BASC6M
Neuroticism,Neu,A1SF4S,B1SE6S,BASC6S
Openness,Ope,A1SF4N,B1SE6N,BASC6N
Openness,Ope,A1SF4P,B1SE6Q,BASC6Q
Openness,Ope,A1SF4U,B1SE6U,BASC6U
Openness,Ope,A1SF4V,B1SE6V,BASC6V
Openness,Ope,A1SF4Y,B1SE6Y,BASC6Y
Openness,Ope,A1SF4BB,B1SE6BB,BASC6BB
Openness,Ope,A1SF4CC,B1SE6CC,BASC6CC
Agreeableness,Agr,A1SF4B,B1SE6B,BASC6B
Agreeableness,Agr,A1SF4G,B1SE6G,BASC6G
Agreeableness,Agr,A1SF4L,B1SE6L,BASC6L
Agreeableness,Agr,A1SF4R,B1SE6R,BASC6R
Agreeableness,Agr,A1SF4Z,B1SE6Z,BASC6Z
Family Support,FamS,A1SM2,B1SJ2A,BACJS2A
Family Support,FamS,A1SM3,B1SJ2B,BACJS2B
Family Support,FamS,A1SM4,B1SJ2C,BACJS2C
Family Support,FamS,A1SM5,B1SJ2D,BACJS2D
Friend Support,FriS,A1SM11,B1SJ4A,BACJS4A
Friend Support,FriS,A1SM12,B1SJ4B,BACJS4B
Friend Support,FriS,A1SM13,B1SJ4C,BACJS4C
Friend Support,FriS,A1SM14,B1SJ4D,BACJS4D
Spouse Support,SpoS,A1SP11,B1SL11A,BACLS11A
Spouse Support,SpoS,A1SP12,B1SL11B,BACLS11B
Spouse Support,SpoS,A1SP13,B1SL11C,BACLS11C
Spouse Support,SpoS,A1SP14,B1SL11D,BACLS11D
Spouse Support,SpoS,A1SP15,B1SL11E,BACLS11E
Spouse Support,SpoS,A1SP16,B1SL11F,BACLS11F
Social Integration,SI,A1SK17B,B1SH16B,BASF1B
Social Integration,SI,A1SK17F,B1SH16F,BASF1F
Social Integration,SI,A1SK17K,B1SH16K,BASF1K
